Min Target,stD,k,gamma,1/k,+gam/(2*k^2),+(gam*stD^2)/2,optimal half spread,q (inventory),q*gam*stD^2,SPREAD
0.5,0.5,2.0,2.0,0.5,0.25,0.25,0.5,1,0,1.0
1,1,1.0,1.0,1.0,0.5,0.5,1.0,1,1,2.0
2.5,2.5,0.4,0.4,2.5,1.25,1.25,2.5,1,2,5.0
5,5,0.2,0.2,5.0,2.5,2.5,5.0,1,5,10.0
7.5,7.5,0.133333,0.133333,7.5,3.75,3.75,7.5,1,8,15.0
10,10,0.1,0.1,10.0,5.0,5.0,10.0,1,10,20.0
15,15,0.066667,0.066667,15.0,7.5,7.5,15.0,1,15,30.0
20,20,0.05,0.05,20.0,10.0,10.0,20.0,1,20,40.0
30,30,0.033333,0.033333,30.0,15.0,15.0,30.0,1,30,60.0
50,50,0.02,0.02,50.0,25.0,25.0,50.0,1,50,100.0
75,75,0.013333,0.013333,75.0,37.5,37.5,75.0,1,75,150.0
100,100,0.01,0.01,100.0,50.0,50.0,100.0,1,100,200.0
150,150,0.006667,0.006667,150.0,75.0,75.0,150.0,1,150,300.0
200,200,0.005,0.005,200.0,100.0,100.0,200.0,1,200,400.0
300,300,0.003333,0.003333,300.0,150.0,150.0,300.0,1,300,600.0
500,500,0.002,0.002,500.0,250.0,250.0,500.0,1,500,1000.0
